node_id,node_type,x_km,y_km,facility_id,service,population
100294,Region,35.004561,138.361093,,,812.0
100295,Region,35.004871,138.365907,,,1084.0
100296,Region,35.007139,138.367345,,,798.0
100297,Region,35.00935,138.368618,,,1046.0
100298,Region,35.008744,138.363412,,,870.0
100299,Region,35.01301,138.36772,,,1129.0
100300,Region,35.016323,138.370286,,,676.0
100301,Region,35.007322,138.373008,,,1489.0
100302,Region,35.01099,138.375043,,,1106.0
100303,Region,35.013918,138.375664,,,583.0
100304,Region,35.017226,138.374906,,,492.0
100305,Region,35.012777,138.378182,,,327.0
100306,Region,35.024536,138.377049,,,675.0
100307,Region,35.039101,138.382116,,,995.0
100308,Region,35.051591,138.382012,,,261.0
100309,Region,35.070911,138.38237,,,809.0
100310,Region,35.054784,138.37218,,,351.0
100311,Region,35.09465,138.386281,,,204.0
100312,Region,35.103841,138.371375,,,57.0
100313,Region,35.109453,138.368318,,,250.0
100314,Region,35.115794,138.365847,,,42.0
100315,Region,35.117483,138.386499,,,112.0
100316,Region,34.968496,138.339583,,,1732.0
100317,Region,34.975445,138.32794,,,416.0
100318,Region,34.97148,138.315726,,,753.0
100319,Region,34.966743,138.297909,,,515.0
100320,Region,34.982162,138.285193,,,233.0
100321,Region,34.982262,138.270335,,,35.0
100322,Region,34.999994,138.275093,,,481.0
100323,Region,35.003178,138.243119,,,74.0
100324,Region,35.010899,138.264978,,,82.0
100325,Region,35.019082,138.256682,,,716.0
100326,Region,34.975001,138.355509,,,779.0
100327,Region,34.97917,138.355642,,,991.0
100328,Region,34.988942,138.351653,,,24.0
100329,Region,34.981572,138.351905,,,1023.0
100330,Region,34.9854,138.35511,,,1210.0
100331,Region,34.999227,138.346985,,,378.0
100332,Region,34.989832,138.343359,,,0.0
100333,Region,34.985414,138.344269,,,997.0
100334,Region,34.988211,138.33799,,,1010.0
100335,Region,34.980377,138.346072,,,845.0
100336,Region,34.977683,138.34488,,,1109.0
100337,Region,34.980197,138.338286,,,1163.0
100338,Region,34.982187,138.34269,,,1139.0
100339,Region,34.983333,138.339082,,,1786.0
